,Name,Age,Nationality,Overall,Potential,Club,Value(€),Wage(€),Height,Weight(lbs),Continent
0,L. Messi,31,Argentina,94,94,FC Barcelona,110500000.0,565000.0,5'7,159.0,South America
1,Cristiano Ronaldo,33,Portugal,94,94,Juventus,77000000.0,405000.0,6'2,183.0,Europe
2,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,118500000.0,290000.0,5'9,150.0,South America
3,De Gea,27,Spain,91,93,Manchester United,72000000.0,260000.0,6'4,168.0,Europe
4,K. De Bruyne,27,Belgium,91,92,Manchester City,102000000.0,355000.0,5'11,154.0,Europe
5,E. Hazard,27,Belgium,91,91,Chelsea,93000000.0,340000.0,5'8,163.0,Europe
6,L. Modrić,32,Croatia,91,91,Real Madrid,67000000.0,420000.0,5'8,146.0,Europe
7,L. Suárez,31,Uruguay,91,91,FC Barcelona,80000000.0,455000.0,6'0,190.0,South America
8,Sergio Ramos,32,Spain,91,91,Real Madrid,51000000.0,380000.0,6'0,181.0,Europe
9,J. Oblak,25,Slovenia,90,93,Atlético Madrid,68000000.0,94000.0,6'2,192.0,Europe
10,R. Lewandowski,29,Poland,90,90,FC Bayern München,77000000.0,205000.0,6'0,176.0,Europe
11,T. Kroos,28,Germany,90,90,Real Madrid,76500000.0,355000.0,6'0,168.0,Europe
12,D. Godín,32,Uruguay,90,90,Atlético Madrid,44000000.0,125000.0,6'2,172.0,South America
13,David Silva,32,Spain,90,90,Manchester City,60000000.0,285000.0,5'8,148.0,Europe
14,N. Kanté,27,France,89,90,Chelsea,63000000.0,225000.0,5'6,159.0,Europe
15,P. Dybala,24,Argentina,89,94,Juventus,89000000.0,205000.0,5'10,165.0,South America
16,H. Kane,24,United Kingdom,89,91,Tottenham Hotspur,83500000.0,205000.0,6'2,196.0,Europe
17,A. Griezmann,27,France,89,90,Atlético Madrid,78000000.0,145000.0,5'9,161.0,Europe
18,M. ter Stegen,26,Germany,89,92,FC Barcelona,58000000.0,240000.0,6'2,187.0,Europe
19,T. Courtois,26,Belgium,89,90,Real Madrid,53500000.0,240000.0,6'6,212.0,Europe
20,Sergio Busquets,29,Spain,89,89,FC Barcelona,51500000.0,315000.0,6'2,168.0,Europe
21,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,60000000.0,200000.0,6'1,170.0,South America
22,M. Neuer,32,Germany,89,89,FC Bayern München,38000000.0,130000.0,6'4,203.0,Europe
23,S. Agüero,30,Argentina,89,89,Manchester City,64500000.0,300000.0,5'8,154.0,South America
24,G. Chiellini,33,Italy,89,89,Juventus,27000000.0,215000.0,6'2,187.0,Europe
25,K. Mbappé,19,France,88,95,Paris Saint-Germain,81000000.0,100000.0,5'10,161.0,Europe
26,M. Salah,26,Egypt,88,89,Liverpool,69500000.0,255000.0,5'9,157.0,Africa
27,Casemiro,26,Brazil,88,90,Real Madrid,59500000.0,285000.0,6'1,185.0,South America
28,J. Rodríguez,26,Colombia,88,89,FC Bayern München,69500000.0,315000.0,5'11,172.0,South America
29,L. Insigne,27,Italy,88,88,Napoli,62000000.0,165000.0,5'4,130.0,Europe
30,Isco,26,Spain,88,91,Real Madrid,73500000.0,315000.0,5'9,174.0,Europe
31,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,73500000.0,205000.0,5'11,168.0,Europe
32,Coutinho,26,Brazil,88,89,FC Barcelona,69500000.0,340000.0,5'8,150.0,South America
33,P. Aubameyang,29,Gabon,88,88,Arsenal,59000000.0,265000.0,6'2,176.0,Africa
34,M. Hummels,29,Germany,88,88,FC Bayern München,46000000.0,160000.0,6'3,203.0,Europe
35,Marcelo,30,Brazil,88,88,Real Madrid,43000000.0,285000.0,5'9,176.0,South America
36,G. Bale,28,United Kingdom,88,88,Real Madrid,60000000.0,355000.0,6'1,181.0,Europe
37,H. Lloris,31,France,88,88,Tottenham Hotspur,36000000.0,150000.0,6'2,181.0,Europe
38,G. Higuaín,30,Argentina,88,88,Milan,57000000.0,245000.0,6'1,196.0,South America
39,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,24000000.0,165000.0,6'0,181.0,South America
40,S. Handanovič,33,Slovenia,88,88,Inter,30000000.0,110000.0,6'4,203.0,Europe
41,G. Buffon,40,Italy,88,88,Paris Saint-Germain,4000000.0,77000.0,6'4,203.0,Europe
42,S. Umtiti,24,France,87,92,FC Barcelona,57000000.0,205000.0,6'0,165.0,Europe
43,M. Icardi,25,Argentina,87,90,Inter,64500000.0,130000.0,5'11,165.0,South America
